record_id,repository,work_type,number,created_at,closed_at,source_year,resolved_within_30d,workflow_risk_30d,prior_items,prior_30d_inflow,prior_open_backlog,prior_closed_by_as_of,prior_30d_resolution_rate,created_month,created_weekday
backstage:prs:8717,backstage,pull_request,8717,2022-01-01 00:52:14+00:00,2022-01-04 09:26:01+00:00,2022,1,0,0,0,0,0,,1,5
backstage:prs:8719,backstage,pull_request,8719,2022-01-02 14:42:24+00:00,2022-01-13 22:25:02+00:00,2022,1,0,1,1,1,0,,1,6
backstage:prs:8720,backstage,pull_request,8720,2022-01-03 09:34:11+00:00,2022-01-03 09:43:09+00:00,2022,1,0,2,2,2,0,,1,0
backstage:issues:8721,backstage,issue,8721,2022-01-03 10:03:08+00:00,2022-01-04 14:00:46+00:00,2022,1,0,3,3,2,1,,1,0
backstage:prs:8722,backstage,pull_request,8722,2022-01-03 10:07:54+00:00,2022-01-03 10:39:45+00:00,2022,1,0,4,4,3,1,,1,0
backstage:prs:8723,backstage,pull_request,8723,2022-01-03 12:08:32+00:00,2022-01-04 08:24:28+00:00,2022,1,0,5,5,3,2,,1,0
backstage:prs:8724,backstage,pull_request,8724,2022-01-03 14:00:03+00:00,2022-01-03 17:05:12+00:00,2022,1,0,6,6,4,2,,1,0
backstage:prs:8725,backstage,pull_request,8725,2022-01-03 14:08:43+00:00,2022-01-03 23:57:34+00:00,2022,1,0,7,7,5,2,,1,0
backstage:prs:8726,backstage,pull_request,8726,2022-01-03 14:21:46+00:00,2022-01-03 14:35:52+00:00,2022,1,0,8,8,6,2,,1,0
backstage:prs:8727,backstage,pull_request,8727,2022-01-03 14:36:09+00:00,2022-01-12 08:10:04+00:00,2022,1,0,9,9,6,3,,1,0
backstage:prs:8728,backstage,pull_request,8728,2022-01-03 16:53:12+00:00,2022-01-04 08:35:33+00:00,2022,1,0,10,10,7,3,,1,0
backstage:issues:8729,backstage,issue,8729,2022-01-03 16:57:12+00:00,2022-03-09 09:41:41+00:00,2022,0,1,11,11,8,3,,1,0
backstage:prs:8730,backstage,pull_request,8730,2022-01-03 17:00:36+00:00,2022-01-03 17:09:49+00:00,2022,1,0,12,12,9,3,,1,0
backstage:prs:8731,backstage,pull_request,8731,2022-01-03 17:36:05+00:00,2022-01-04 09:55:10+00:00,2022,1,0,13,13,8,5,,1,0
backstage:prs:8732,backstage,pull_request,8732,2022-01-03 18:23:09+00:00,2022-01-03 18:48:09+00:00,2022,1,0,14,14,9,5,,1,0
backstage:prs:8733,backstage,pull_request,8733,2022-01-04 04:10:45+00:00,2022-01-04 07:23:29+00:00,2022,1,0,15,15,8,7,,1,1
backstage:prs:8734,backstage,pull_request,8734,2022-01-04 04:13:58+00:00,2022-01-04 07:23:02+00:00,2022,1,0,16,16,9,7,,1,1
backstage:issues:8735,backstage,issue,8735,2022-01-04 07:47:52+00:00,2022-03-12 08:05:32+00:00,2022,0,1,17,17,8,9,,1,1
backstage:prs:8736,backstage,pull_request,8736,2022-01-04 09:48:44+00:00,2022-01-10 14:20:40+00:00,2022,1,0,18,18,6,12,,1,1
backstage:prs:8737,backstage,pull_request,8737,2022-01-04 10:04:31+00:00,2022-01-04 10:48:57+00:00,2022,1,0,19,19,6,13,,1,1
backstage:prs:8738,backstage,pull_request,8738,2022-01-04 10:49:23+00:00,2022-01-05 12:32:40+00:00,2022,1,0,20,20,6,14,,1,1
backstage:issues:8739,backstage,issue,8739,2022-01-04 17:13:58+00:00,2022-03-15 13:09:20+00:00,2022,0,1,21,21,6,15,,1,1
backstage:prs:8740,backstage,pull_request,8740,2022-01-04 17:35:19+00:00,2022-01-05 12:31:58+00:00,2022,1,0,22,22,7,15,,1,1
backstage:prs:8741,backstage,pull_request,8741,2022-01-04 18:20:06+00:00,2022-01-05 06:52:08+00:00,2022,1,0,23,23,8,15,,1,1
backstage:prs:8742,backstage,pull_request,8742,2022-01-04 18:34:34+00:00,2022-01-05 01:13:04+00:00,2022,1,0,24,24,9,15,,1,1
backstage:issues:8743,backstage,issue,8743,2022-01-04 20:29:32+00:00,2022-03-18 16:50:54+00:00,2022,0,1,25,25,10,15,,1,1
backstage:prs:8744,backstage,pull_request,8744,2022-01-04 21:56:31+00:00,2022-01-05 18:54:46+00:00,2022,1,0,26,26,11,15,,1,1
backstage:prs:8745,backstage,pull_request,8745,2022-01-05 00:11:58+00:00,2022-01-05 16:02:13+00:00,2022,1,0,27,27,12,15,,1,2
backstage:prs:8746,backstage,pull_request,8746,2022-01-05 01:00:33+00:00,2022-01-05 12:29:49+00:00,2022,1,0,28,28,13,15,,1,2
backstage:prs:8747,backstage,pull_request,8747,2022-01-05 01:57:57+00:00,2022-01-07 13:28:10+00:00,2022,1,0,29,29,13,16,,1,2
backstage:prs:8748,backstage,pull_request,8748,2022-01-05 02:36:10+00:00,2022-01-05 09:08:42+00:00,2022,1,0,30,30,14,16,,1,2
backstage:prs:8749,backstage,pull_request,8749,2022-01-05 04:14:36+00:00,2022-01-05 06:45:43+00:00,2022,1,0,31,31,15,16,,1,2
backstage:prs:8750,backstage,pull_request,8750,2022-01-05 04:15:28+00:00,2022-01-05 09:33:48+00:00,2022,1,0,32,32,16,16,,1,2
backstage:prs:8751,backstage,pull_request,8751,2022-01-05 09:14:19+00:00,2022-01-13 16:25:20+00:00,2022,1,0,33,33,14,19,,1,2
backstage:prs:8752,backstage,pull_request,8752,2022-01-05 09:24:17+00:00,2022-01-05 10:06:42+00:00,2022,1,0,34,34,15,19,,1,2
