initiative_id,initiative,owner_team,quarter,priority,service_tier,work_class,outcome_target,outcome_progress,scope_change_pct,completion_rate,quality_gate_rate,dependency_count,blocked_dependencies,max_delay_days,unplanned_capacity,verification_capacity,change_volume,capacity_headroom_pct,risk_score,recommendation
INIT-04,Initiative 04,Delta,2026-Q1,P0,critical,quality_reliability,24,5,0.42,0.6666666666666666,0.0,2,0,4,20,31,46,0.33,55.5,PROTECT: reserve capacity and address quality gates
INIT-29,Initiative 29,Ember,2026-Q2,P2,standard,maintenance,18,11,0.36,0.6666666666666666,0.5,1,0,1,14,18,55,0.13,48.5,RE-SCOPE: reduce commitment
INIT-25,Initiative 25,Atlas,2026-Q1,P2,standard,quality_reliability,9,5,0.34,0.8333333333333334,0.8333333333333334,1,1,14,17,19,56,0.14,44.5,RE-SCOPE: reduce commitment
INIT-03,Initiative 03,Compass,2026-Q3,P0,strategic,feature,17,8,0.38,0.8333333333333334,0.6666666666666666,2,0,4,19,23,62,0.17,42.3,RE-SCOPE: reduce commitment
INIT-01,Initiative 01,Atlas,2026-Q1,P0,critical,quality_reliability,9,22,0.2,0.8333333333333334,1.0,2,2,14,17,19,56,0.14,42.2,PROTECT: reserve capacity and address quality gates
INIT-05,Initiative 05,Ember,2026-Q2,P0,strategic,maintenance,12,7,0.29,0.8333333333333334,0.5,2,0,4,14,18,55,0.13,41.2,MONITOR: no immediate intervention
INIT-07,Initiative 07,Atlas,2026-Q1,P1,critical,quality_reliability,18,4,0.35,1.0,0.8333333333333334,1,1,14,17,19,56,0.14,40.8,PROTECT: reserve capacity and address quality gates
INIT-23,Initiative 23,Ember,2026-Q2,P2,standard,maintenance,22,13,0.29,0.6666666666666666,0.8333333333333334,1,0,0,14,18,55,0.13,39.4,MONITOR: no immediate intervention
INIT-13,Initiative 13,Atlas,2026-Q1,P1,strategic,quality_reliability,10,22,0.0,0.3333333333333333,1.0,1,1,14,17,19,56,0.14,38.7,MONITOR: no immediate intervention
INIT-10,Initiative 10,Delta,2026-Q1,P1,strategic,quality_reliability,24,8,0.35,0.6666666666666666,0.8333333333333334,1,0,1,20,31,46,0.33,38.2,RE-SCOPE: reduce commitment
INIT-17,Initiative 17,Ember,2026-Q2,P1,strategic,maintenance,12,11,0.13,0.5,0.8333333333333334,1,0,4,14,18,55,0.13,36.4,MONITOR: no immediate intervention
INIT-06,Initiative 06,Forge,2026-Q3,P0,strategic,feature,22,16,0.07,0.8333333333333334,0.3333333333333333,1,0,4,23,22,64,0.16,34.3,MONITOR: no immediate intervention
INIT-19,Initiative 19,Atlas,2026-Q1,P2,standard,quality_reliability,10,8,0.18,0.8333333333333334,1.0,1,1,14,17,19,56,0.14,34.3,MONITOR: no immediate intervention
INIT-12,Initiative 12,Forge,2026-Q3,P1,critical,feature,21,10,0.17,0.6666666666666666,0.8333333333333334,1,0,3,23,22,64,0.16,34.0,MONITOR: no immediate intervention
INIT-30,Initiative 30,Forge,2026-Q3,P2,standard,feature,19,13,0.22,0.6666666666666666,1.0,1,0,2,23,22,64,0.16,33.2,MONITOR: no immediate intervention
INIT-27,Initiative 27,Compass,2026-Q3,P2,standard,feature,10,2,0.21,0.6666666666666666,1.0,1,0,4,19,23,62,0.17,32.8,MONITOR: no immediate intervention
INIT-26,Initiative 26,Beacon,2026-Q2,P2,standard,maintenance,14,6,0.27,0.8333333333333334,0.8333333333333334,1,0,4,38,42,69,0.28,31.6,MONITOR: no immediate intervention
INIT-15,Initiative 15,Compass,2026-Q3,P1,strategic,feature,13,14,0.18,0.6666666666666666,1.0,1,0,4,19,23,62,0.17,31.4,MONITOR: no immediate intervention
INIT-16,Initiative 16,Delta,2026-Q1,P1,strategic,quality_reliability,24,22,0.18,0.6666666666666666,0.8333333333333334,1,0,1,20,31,46,0.33,30.6,MONITOR: no immediate intervention
INIT-21,Initiative 21,Compass,2026-Q3,P2,standard,feature,24,8,0.16,0.6666666666666666,1.0,1,0,0,19,23,62,0.17,30.5,MONITOR: no immediate intervention
INIT-18,Initiative 18,Forge,2026-Q3,P2,critical,feature,8,19,0.2,1.0,0.6666666666666666,1,0,4,23,22,64,0.16,30.0,MONITOR: no immediate intervention
INIT-11,Initiative 11,Ember,2026-Q2,P1,strategic,maintenance,10,21,0.25,1.0,0.8333333333333334,1,0,4,14,18,55,0.13,29.3,MONITOR: no immediate intervention
INIT-20,Initiative 20,Beacon,2026-Q2,P2,standard,maintenance,20,7,0.1,0.6666666666666666,0.8333333333333334,1,0,0,38,42,69,0.28,28.2,MONITOR: no immediate intervention
INIT-08,Initiative 08,Beacon,2026-Q2,P1,strategic,maintenance,22,15,0.3,1.0,1.0,1,0,1,38,42,69,0.28,25.8,RE-SCOPE: reduce commitment
INIT-28,Initiative 28,Delta,2026-Q1,P2,standard,quality_reliability,14,19,0.04,0.5,1.0,1,0,1,20,31,46,0.33,25.4,MONITOR: no immediate intervention
INIT-22,Initiative 22,Delta,2026-Q1,P2,standard,quality_reliability,18,7,0.22,1.0,1.0,1,0,4,20,31,46,0.33,21.0,MONITOR: no immediate intervention
INIT-24,Initiative 24,Forge,2026-Q3,P2,standard,feature,13,9,0.04,0.8333333333333334,1.0,1,0,2,23,22,64,0.16,21.0,MONITOR: no immediate intervention
INIT-14,Initiative 14,Beacon,2026-Q2,P1,strategic,maintenance,16,15,0.1,1.0,0.8333333333333334,1,0,3,38,42,69,0.28,19.8,MONITOR: no immediate intervention
INIT-02,Initiative 02,Beacon,2026-Q2,P0,strategic,maintenance,24,19,0.08,1.0,0.8333333333333334,2,0,4,38,42,69,0.28,18.9,MONITOR: no immediate intervention
INIT-09,Initiative 09,Compass,2026-Q3,P1,strategic,feature,20,19,0.03,1.0,1.0,1,0,1,19,23,62,0.17,16.4,MONITOR: no immediate intervention
