team,quarter,planned_capacity,allocated_capacity,unplanned_capacity,verification_capacity,change_volume,capacity_headroom_pct
Atlas,2026-Q1,165,163,17,19,56,0.14
Beacon,2026-Q1,172,159,29,30,44,0.23
Compass,2026-Q1,139,126,19,24,60,0.18
Delta,2026-Q1,132,122,20,31,46,0.33
Ember,2026-Q1,134,128,37,35,67,0.26
Forge,2026-Q1,145,144,27,35,46,0.2
Atlas,2026-Q2,184,186,52,16,88,0.06
Beacon,2026-Q2,162,149,38,42,69,0.28
Compass,2026-Q2,186,194,35,45,60,0.15
Delta,2026-Q2,189,177,38,27,69,0.25
Ember,2026-Q2,147,130,14,18,55,0.13
Forge,2026-Q2,139,142,18,34,66,0.32
Atlas,2026-Q3,137,140,32,37,40,0.14
Beacon,2026-Q3,164,169,8,28,59,0.13
Compass,2026-Q3,174,175,19,23,62,0.17
Delta,2026-Q3,168,165,11,34,56,0.34
Ember,2026-Q3,186,178,37,34,49,0.13
Forge,2026-Q3,171,164,23,22,64,0.16
