dependency_id,upstream_initiative_id,downstream_initiative_id,status,delay_days
DEP-01,INIT-05,INIT-01,blocked,14
DEP-02,INIT-12,INIT-02,on_track,0
DEP-03,INIT-19,INIT-03,on_track,4
DEP-04,INIT-26,INIT-04,on_track,4
DEP-05,INIT-03,INIT-05,on_track,0
DEP-06,INIT-10,INIT-06,on_track,4
DEP-07,INIT-17,INIT-07,blocked,14
DEP-08,INIT-24,INIT-08,on_track,1
DEP-09,INIT-01,INIT-09,on_track,1
DEP-10,INIT-08,INIT-10,on_track,1
DEP-11,INIT-15,INIT-11,on_track,4
DEP-12,INIT-22,INIT-12,on_track,3
DEP-13,INIT-29,INIT-13,blocked,14
DEP-14,INIT-06,INIT-14,on_track,3
DEP-15,INIT-13,INIT-15,on_track,4
DEP-16,INIT-20,INIT-16,on_track,1
DEP-17,INIT-27,INIT-17,on_track,4
DEP-18,INIT-04,INIT-18,on_track,4
DEP-19,INIT-11,INIT-19,blocked,14
DEP-20,INIT-18,INIT-20,on_track,0
DEP-21,INIT-25,INIT-21,on_track,0
DEP-22,INIT-02,INIT-22,on_track,4
DEP-23,INIT-09,INIT-23,on_track,0
DEP-24,INIT-16,INIT-24,on_track,2
DEP-25,INIT-23,INIT-25,blocked,14
DEP-26,INIT-30,INIT-26,on_track,4
DEP-27,INIT-07,INIT-27,on_track,4
DEP-28,INIT-14,INIT-28,on_track,1
DEP-29,INIT-21,INIT-29,on_track,1
DEP-30,INIT-28,INIT-30,on_track,2
DEP-31,INIT-05,INIT-01,blocked,14
DEP-32,INIT-12,INIT-02,on_track,4
DEP-33,INIT-19,INIT-03,on_track,2
DEP-34,INIT-26,INIT-04,on_track,4
DEP-35,INIT-03,INIT-05,on_track,4
