initiative_id,initiative,owner_team,quarter,priority,service_tier,work_class,outcome_target,outcome_progress,scope_change_pct
INIT-01,Initiative 01,Atlas,2026-Q1,P0,critical,quality_reliability,9,22,0.2
INIT-02,Initiative 02,Beacon,2026-Q2,P0,strategic,maintenance,24,19,0.08
INIT-03,Initiative 03,Compass,2026-Q3,P0,strategic,feature,17,8,0.38
INIT-04,Initiative 04,Delta,2026-Q1,P0,critical,quality_reliability,24,5,0.42
INIT-05,Initiative 05,Ember,2026-Q2,P0,strategic,maintenance,12,7,0.29
INIT-06,Initiative 06,Forge,2026-Q3,P0,strategic,feature,22,16,0.07
INIT-07,Initiative 07,Atlas,2026-Q1,P1,critical,quality_reliability,18,4,0.35
INIT-08,Initiative 08,Beacon,2026-Q2,P1,strategic,maintenance,22,15,0.3
INIT-09,Initiative 09,Compass,2026-Q3,P1,strategic,feature,20,19,0.03
INIT-10,Initiative 10,Delta,2026-Q1,P1,strategic,quality_reliability,24,8,0.35
INIT-11,Initiative 11,Ember,2026-Q2,P1,strategic,maintenance,10,21,0.25
INIT-12,Initiative 12,Forge,2026-Q3,P1,critical,feature,21,10,0.17
INIT-13,Initiative 13,Atlas,2026-Q1,P1,strategic,quality_reliability,10,22,0.0
INIT-14,Initiative 14,Beacon,2026-Q2,P1,strategic,maintenance,16,15,0.1
INIT-15,Initiative 15,Compass,2026-Q3,P1,strategic,feature,13,14,0.18
INIT-16,Initiative 16,Delta,2026-Q1,P1,strategic,quality_reliability,24,22,0.18
INIT-17,Initiative 17,Ember,2026-Q2,P1,strategic,maintenance,12,11,0.13
INIT-18,Initiative 18,Forge,2026-Q3,P2,critical,feature,8,19,0.2
INIT-19,Initiative 19,Atlas,2026-Q1,P2,standard,quality_reliability,10,8,0.18
INIT-20,Initiative 20,Beacon,2026-Q2,P2,standard,maintenance,20,7,0.1
INIT-21,Initiative 21,Compass,2026-Q3,P2,standard,feature,24,8,0.16
INIT-22,Initiative 22,Delta,2026-Q1,P2,standard,quality_reliability,18,7,0.22
INIT-23,Initiative 23,Ember,2026-Q2,P2,standard,maintenance,22,13,0.29
INIT-24,Initiative 24,Forge,2026-Q3,P2,standard,feature,13,9,0.04
INIT-25,Initiative 25,Atlas,2026-Q1,P2,standard,quality_reliability,9,5,0.34
INIT-26,Initiative 26,Beacon,2026-Q2,P2,standard,maintenance,14,6,0.27
INIT-27,Initiative 27,Compass,2026-Q3,P2,standard,feature,10,2,0.21
INIT-28,Initiative 28,Delta,2026-Q1,P2,standard,quality_reliability,14,19,0.04
INIT-29,Initiative 29,Ember,2026-Q2,P2,standard,maintenance,18,11,0.36
INIT-30,Initiative 30,Forge,2026-Q3,P2,standard,feature,19,13,0.22
