work_item_id,initiative_id,team,quarter,planned_effort,actual_effort,status,is_unplanned,quality_gate_passed
INIT-01-W1,INIT-01,Atlas,2026-Q1,10,17,done,False,True
INIT-01-W2,INIT-01,Atlas,2026-Q1,14,21,done,True,True
INIT-01-W3,INIT-01,Atlas,2026-Q1,12,9,in_progress,False,True
INIT-01-W4,INIT-01,Atlas,2026-Q1,13,15,done,False,True
INIT-01-W5,INIT-01,Atlas,2026-Q1,5,12,done,True,True
INIT-01-W6,INIT-01,Atlas,2026-Q1,8,11,done,False,True
INIT-02-W1,INIT-02,Beacon,2026-Q2,10,16,done,True,True
INIT-02-W2,INIT-02,Beacon,2026-Q2,7,7,done,True,True
INIT-02-W3,INIT-02,Beacon,2026-Q2,15,15,done,False,True
INIT-02-W4,INIT-02,Beacon,2026-Q2,9,6,done,False,True
INIT-02-W5,INIT-02,Beacon,2026-Q2,15,16,done,True,False
INIT-02-W6,INIT-02,Beacon,2026-Q2,13,13,done,False,True
INIT-03-W1,INIT-03,Compass,2026-Q3,15,16,in_progress,True,False
INIT-03-W2,INIT-03,Compass,2026-Q3,8,6,done,False,False
INIT-03-W3,INIT-03,Compass,2026-Q3,9,15,done,False,True
INIT-03-W4,INIT-03,Compass,2026-Q3,7,8,done,True,True
INIT-03-W5,INIT-03,Compass,2026-Q3,13,16,done,False,True
INIT-03-W6,INIT-03,Compass,2026-Q3,5,11,done,False,True
INIT-04-W1,INIT-04,Delta,2026-Q1,13,20,done,False,False
INIT-04-W2,INIT-04,Delta,2026-Q1,13,15,done,True,False
INIT-04-W3,INIT-04,Delta,2026-Q1,8,12,in_progress,False,False
INIT-04-W4,INIT-04,Delta,2026-Q1,10,17,done,False,False
INIT-04-W5,INIT-04,Delta,2026-Q1,14,12,in_progress,False,False
INIT-04-W6,INIT-04,Delta,2026-Q1,11,11,done,False,False
INIT-05-W1,INIT-05,Ember,2026-Q2,7,11,done,True,True
INIT-05-W2,INIT-05,Ember,2026-Q2,7,10,done,False,False
